epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4698,0.46747,0.26501,0.67532,1.02267,0.99093,1,0.995,0.95913,0.99093,1,0.995,0.995,0.2693,0.12085,0.95432,0.88679,2e-05,2e-05,2e-05
2,19.5989,0.41307,0.20098,0.65436,0.966,0.99146,1,0.995,0.995,0.99146,1,0.995,0.995,0.25102,0.10733,0.94696,0.8754,5.802e-05,5.802e-05,5.802e-05
3,29.3032,0.40975,0.1722,0.64201,0.98329,0.99188,1,0.995,0.96303,0.99188,1,0.995,0.995,0.34745,0.0995,0.92481,0.958,9.34e-05,9.34e-05,9.34e-05
4,38.3076,0.43571,0.23402,0.66153,0.9673,0.98947,1,0.995,0.96303,0.98947,1,0.995,0.995,0.41472,0.09705,0.91599,1.03433,0.00012614,0.00012614,0.00012614
5,47.6539,0.40009,0.16524,0.57938,0.94277,0.9888,1,0.995,0.93125,0.9888,1,0.995,0.995,0.37082,0.10236,0.93365,1.00505,0.00015624,0.00015624,0.00015624
6,56.0424,0.34688,0.15538,0.5605,0.93811,0.92645,1,0.995,0.96304,0.92645,1,0.995,0.995,0.38533,0.13983,1.44468,1.01698,0.0001837,0.0001837,0.0001837
7,64.5863,0.42338,0.22372,0.62161,0.94304,0.79278,1,0.995,0.995,0.79278,1,0.995,0.995,0.32048,0.17942,2.37757,0.97328,0.00020852,0.00020852,0.00020852
8,73.3763,0.49274,0.19578,0.71793,1.02126,0.81282,1,0.995,0.97104,0.81282,1,0.995,0.995,0.32559,0.19595,2.54752,0.96248,0.0002307,0.0002307,0.0002307
9,81.9848,0.50166,0.24526,0.70048,1.01514,0.9278,1,0.995,0.91531,0.9278,1,0.995,0.995,0.37111,0.19386,2.5423,0.99683,0.00025024,0.00025024,0.00025024
10,90.4308,0.37545,0.13612,0.61754,0.92541,0.92145,0.8,0.92,0.84281,0.92145,0.8,0.92,0.92,0.39071,0.16973,2.36128,1.02229,0.00026714,0.00026714,0.00026714
11,99.4859,0.40463,0.1772,0.56954,0.94965,1,0.97142,0.995,0.94706,1,0.97142,0.995,0.97104,0.45255,0.16532,2.21535,1.08092,0.0002814,0.0002814,0.0002814
12,108.796,0.3893,0.15634,0.55293,0.9656,0.98294,1,0.995,0.94039,0.98294,1,0.995,0.94039,0.52376,0.15942,2.23978,1.14715,0.00029302,0.00029302,0.00029302
13,117.91,0.41762,0.2461,0.61868,0.94566,1,0.94154,0.995,0.91135,1,0.94154,0.995,0.93389,0.54448,0.15595,2.34991,1.14736,0.000302,0.000302,0.000302
14,127.182,0.40305,0.1764,0.55348,0.95808,0.77833,0.8,0.86611,0.8035,0.77833,0.8,0.86611,0.86611,0.55553,0.17007,2.80663,1.16236,0.00030834,0.00030834,0.00030834
15,136.765,0.41348,0.28441,0.60547,0.95427,0.71893,0.6,0.63055,0.58703,0.71893,0.6,0.63055,0.63055,0.48729,0.18969,3.49434,1.12218,0.00031204,0.00031204,0.00031204
16,146.35,0.4182,0.26667,0.57681,0.97594,0.65513,0.4,0.49297,0.46361,0.65513,0.4,0.49297,0.49297,0.45251,0.19852,4.40403,1.08918,0.0003131,0.0003131,0.0003131
17,156.153,0.37542,0.15457,0.56202,0.92632,0.67231,0.4,0.48401,0.45568,0.67231,0.4,0.48401,0.48401,0.43456,0.16979,4.55137,1.04251,0.00031152,0.00031152,0.00031152
18,166.559,0.48563,0.26414,0.57958,1.02249,0.72061,0.4,0.52172,0.49064,0.72061,0.4,0.52172,0.52172,0.40625,0.14968,3.96521,1.00403,0.0003073,0.0003073,0.0003073
19,176.69,0.40985,0.15828,0.5245,0.98632,0.87206,0.4,0.62929,0.58781,0.87206,0.4,0.62929,0.62929,0.39455,0.13199,3.42964,0.97908,0.00030044,0.00030044,0.00030044
20,186.243,0.40962,0.20456,0.53767,0.95545,0.94082,0.8,0.84262,0.77981,0.94082,0.8,0.84262,0.84262,0.4127,0.12761,2.94567,0.98042,0.00029094,0.00029094,0.00029094
21,195.527,0.39353,0.14526,1.1606,1.0464,1,0.97359,0.995,0.94705,1,0.97359,0.995,0.995,0.35903,0.11769,1.83337,0.95192,0.0002788,0.0002788,0.0002788
22,204.61,0.25161,0.08602,0.78439,0.90473,0.98651,1,0.995,0.94705,0.98651,1,0.995,0.995,0.30147,0.11138,1.02652,0.90336,0.00026402,0.00026402,0.00026402
23,213.663,0.2445,0.09113,0.70047,0.93795,0.99054,1,0.995,0.97503,0.99054,1,0.995,0.995,0.27662,0.11057,0.72381,0.88097,0.0002466,0.0002466,0.0002466
24,222.512,0.2548,0.10571,0.66596,1.0168,0.99106,1,0.995,0.95505,0.99106,1,0.995,0.995,0.31139,0.11305,0.8212,0.90332,0.00022654,0.00022654,0.00022654
25,231.794,0.22529,0.13205,0.59044,0.95816,0.99053,1,0.995,0.97103,0.99053,1,0.995,0.995,0.29276,0.11954,0.99826,0.90595,0.00020384,0.00020384,0.00020384
26,241.723,0.23939,0.11191,0.65283,1.01346,0.99107,1,0.995,0.995,0.99107,1,0.995,0.995,0.26754,0.1171,1.05904,0.89139,0.0001785,0.0001785,0.0001785
27,251.709,0.24591,0.0825,0.63276,0.95137,0.99127,1,0.995,0.995,0.99127,1,0.995,0.995,0.25602,0.10676,0.95344,0.87554,0.00015052,0.00015052,0.00015052
28,262.115,0.20572,0.08114,0.64502,0.85014,0.99127,1,0.995,0.995,0.99127,1,0.995,0.995,0.25602,0.10676,0.95344,0.87554,0.0001199,0.0001199,0.0001199
29,273.138,0.22754,0.08965,0.64638,0.97502,0.99132,1,0.995,0.995,0.99132,1,0.995,0.995,0.25454,0.10067,0.83085,0.86555,8.664e-05,8.664e-05,8.664e-05
30,283.273,0.21396,0.06306,0.56534,0.9112,0.99151,1,0.995,0.995,0.99151,1,0.995,0.995,0.24831,0.09583,0.72943,0.85447,5.074e-05,5.074e-05,5.074e-05
